timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv,load_avg_1min,load_avg_5min,load_avg_15min
2025-06-27 12:23:20,7.4,88.1,77.8,47984936,665902313,0.0,0.0,0.0
2025-06-27 12:23:31,84.4,92.8,77.8,48055625,665968540,0.72,0.15,0.05
2025-06-27 12:23:42,19.6,84.1,77.8,48138445,666023158,0.61,0.14,0.05
2025-06-27 12:23:53,25.1,87.2,77.8,48296684,666122664,0.6,0.16,0.05
2025-06-27 12:24:04,9.7,86.1,77.8,48327447,666159502,0.5,0.15,0.05
2025-06-27 12:24:15,14.5,86.0,77.8,48340679,666164843,0.39,0.14,0.05
2025-06-27 12:24:26,27.5,89.0,77.8,48390170,666264798,0.33,0.14,0.05
2025-06-27 12:24:37,11.6,88.3,77.8,48414319,666290664,0.28,0.13,0.05
2025-06-27 12:24:48,16.8,86.7,77.8,48461644,666361644,0.56,0.2,0.07
2025-06-27 12:24:59,20.6,86.3,77.8,48477705,666377914,0.47,0.19,0.07
2025-06-27 12:25:10,5.1,87.2,77.8,48566423,666422613,0.37,0.18,0.07
2025-06-27 12:25:21,24.9,92.6,77.8,48713427,666568598,0.31,0.17,0.07
2025-06-27 12:25:32,28.2,86.4,77.8,48764710,666607912,0.26,0.17,0.07
2025-06-27 12:25:43,3.7,86.1,77.8,48810892,666656004,0.22,0.16,0.07
2025-06-27 12:25:54,8.5,84.8,77.8,48832077,666677499,0.19,0.16,0.07
2025-06-27 12:26:05,15.6,86.5,77.8,48908362,666705707,0.15,0.15,0.07
2025-06-27 12:26:16,4.3,87.4,77.8,48937950,666750663,0.12,0.14,0.07
2025-06-27 12:26:27,4.7,89.1,77.8,49121108,666902408,0.11,0.14,0.07
2025-06-27 12:26:38,2.3,88.1,77.8,49181616,666950401,0.09,0.14,0.06
2025-06-27 12:26:49,9.3,91.3,77.8,49243140,667001313,0.08,0.13,0.06
2025-06-27 12:27:00,27.0,92.1,77.8,49245328,667013454,0.06,0.12,0.06
2025-06-27 12:27:11,8.2,88.0,77.8,49319570,667233864,0.27,0.17,0.08
2025-06-27 12:27:22,13.8,80.0,77.8,49378357,667346419,0.23,0.16,0.08
2025-06-27 12:27:33,8.0,84.3,77.8,49381480,667350230,0.27,0.18,0.08
2025-06-27 12:27:44,5.0,82.4,77.8,49431658,667388822,0.23,0.17,0.08
2025-06-27 12:27:55,39.0,82.9,77.8,49477617,667425528,0.18,0.16,0.08
2025-06-27 12:28:06,6.0,83.2,77.8,49492244,667447546,0.15,0.16,0.08
2025-06-27 12:28:17,34.7,83.3,77.8,49524378,667492387,0.13,0.15,0.08
2025-06-27 12:28:28,7.6,85.3,77.8,49541712,667514822,0.11,0.15,0.08
2025-06-27 12:28:39,1.6,86.3,77.8,49588692,667557743,0.09,0.14,0.08
2025-06-27 12:28:50,6.8,86.8,77.8,49593283,667565378,0.07,0.13,0.08
2025-06-27 12:29:01,12.5,87.2,77.8,49605075,667587991,0.28,0.18,0.09
2025-06-27 12:29:12,37.9,87.4,77.8,49859646,667612615,0.24,0.17,0.09
2025-06-27 12:29:23,91.3,96.0,77.8,49922727,667689137,0.2,0.17,0.09
2025-06-27 12:29:34,20.9,83.1,77.8,50003682,667735703,0.17,0.16,0.09
2025-06-27 12:29:46,10.0,85.5,77.8,50051354,667779625,0.37,0.2,0.1
2025-06-27 12:29:57,11.7,86.1,77.8,50082434,667829530,0.32,0.2,0.1
2025-06-27 12:30:08,23.3,84.1,77.8,50261360,667918335,0.27,0.19,0.1
2025-06-27 12:30:19,25.8,89.7,77.8,50292144,667967481,1.4,0.44,0.19
2025-06-27 12:30:30,10.6,82.0,77.7,50374107,668055002,1.35,0.46,0.2
2025-06-27 12:30:41,9.4,83.1,77.7,50433516,668104012,1.05,0.44,0.19
2025-06-27 12:30:52,7.3,84.0,77.7,50494785,669316691,0.89,0.43,0.19
2025-06-27 12:31:03,35.1,84.0,77.7,50499449,669330003,0.75,0.41,0.19
2025-06-27 12:31:14,4.9,83.1,77.7,50547050,669389291,0.64,0.4,0.19
2025-06-27 12:31:25,11.3,84.5,77.7,50877150,669503911,0.54,0.38,0.19
2025-06-27 12:31:36,11.5,86.4,77.7,51113795,669934273,0.42,0.37,0.18
2025-06-27 12:31:47,4.0,86.1,77.7,51217999,669976282,0.36,0.35,0.18
2025-06-27 12:31:58,2.9,86.3,77.7,51218811,669977414,0.3,0.34,0.18
2025-06-27 12:32:09,9.6,85.8,77.7,51248129,669992982,0.25,0.33,0.18
2025-06-27 12:32:20,16.9,82.1,77.7,51324103,670091519,0.22,0.32,0.17
2025-06-27 12:32:31,41.4,83.8,77.8,51740903,691107023,0.17,0.3,0.17
2025-06-27 12:32:42,9.1,84.2,77.8,51743839,691110369,0.22,0.31,0.18
2025-06-27 12:32:53,21.0,84.5,77.8,51764315,691155700,0.18,0.3,0.17
2025-06-27 12:33:04,58.4,87.5,77.8,51777595,691181173,0.15,0.29,0.17
2025-06-27 12:33:15,63.4,93.3,77.8,51818239,691211043,0.72,0.41,0.21
2025-06-27 12:33:26,80.2,91.1,77.8,51894589,691345988,3.72,1.09,0.45
2025-06-27 12:33:37,47.4,90.6,77.8,51924632,691383283,3.15,1.05,0.44
2025-06-27 12:33:48,53.6,91.3,77.8,51962872,691404258,2.66,1.02,0.44
2025-06-27 12:33:59,73.1,92.4,77.8,52409233,691601414,2.25,0.99,0.43
2025-06-27 12:34:10,13.2,88.6,77.8,52423096,691611990,1.91,0.95,0.43
2025-06-27 12:34:21,7.6,90.4,77.8,52496255,691653456,1.49,0.91,0.42
2025-06-27 12:34:32,17.5,90.6,77.8,52568839,691781926,1.26,0.88,0.42
2025-06-27 12:34:43,95.2,92.2,77.8,52569828,691782934,1.07,0.85,0.41
2025-06-27 12:34:54,8.2,83.6,77.8,52629245,691827370,1.12,0.87,0.42
2025-06-27 12:35:05,11.0,86.5,77.8,52650097,691866707,0.95,0.84,0.42
2025-06-27 12:35:16,37.3,88.2,77.8,52799002,692112522,0.74,0.8,0.41
2025-06-27 12:35:27,11.0,86.7,77.8,52919331,692708716,0.63,0.77,0.41
2025-06-27 12:35:38,15.8,91.1,77.8,52964866,692774347,0.53,0.75,0.4
2025-06-27 12:35:49,9.6,86.7,77.8,52966300,692775841,0.45,0.72,0.4
2025-06-27 12:36:00,14.0,88.0,77.8,53034010,692921005,0.38,0.7,0.39
2025-06-27 12:36:11,37.9,84.9,77.8,53075065,692951133,0.38,0.68,0.39
2025-06-27 12:36:23,11.7,85.9,77.8,53088672,692974281,0.32,0.66,0.39
2025-06-27 12:36:34,37.5,86.6,77.8,53104189,692989055,0.27,0.64,0.38
2025-06-27 12:36:45,19.9,91.1,77.8,53215359,693102249,0.23,0.62,0.38
2025-06-27 12:36:56,14.4,90.7,77.8,53278832,693175237,0.19,0.6,0.38
2025-06-27 12:37:07,23.2,89.5,77.8,53377487,693248179,0.15,0.57,0.37
2025-06-27 12:37:18,22.4,79.1,77.8,53486631,693408864,0.13,0.55,0.37
2025-06-27 12:37:29,6.7,80.5,77.8,53540622,693461036,0.11,0.53,0.36
2025-06-27 12:37:40,10.2,82.6,77.8,53575965,693495161,0.09,0.51,0.36
2025-06-27 12:37:51,6.9,86.7,77.8,53593945,693504640,0.08,0.5,0.35
2025-06-27 12:38:02,44.2,84.9,77.8,53752107,694005364,0.06,0.47,0.35
2025-06-27 12:38:13,36.4,86.5,77.8,54115168,695036907,0.05,0.46,0.34
2025-06-27 12:38:24,5.6,86.7,77.8,54188300,695116964,0.04,0.44,0.34
2025-06-27 12:38:35,7.6,86.7,77.8,54195413,695121831,0.04,0.43,0.34
2025-06-27 12:38:46,9.5,88.0,77.8,54464818,695245877,0.03,0.41,0.33
2025-06-27 12:38:57,29.5,87.5,77.8,54749482,695750391,0.02,0.39,0.33
2025-06-27 12:39:08,40.2,86.6,77.8,55499377,710448736,0.02,0.38,0.32
2025-06-27 12:39:19,23.9,89.2,77.8,56184203,721726145,0.02,0.37,0.32
2025-06-27 12:39:30,21.8,91.0,77.8,56595400,723641815,0.01,0.36,0.32
2025-06-27 12:39:41,3.9,90.5,77.8,56642522,723720542,0.01,0.34,0.31
2025-06-27 12:39:52,5.0,89.3,77.8,56685212,723753708,0.01,0.33,0.31
2025-06-27 12:40:03,26.6,92.6,77.8,56736224,723808091,0.17,0.35,0.32
2025-06-27 12:40:14,31.1,80.9,77.8,56851761,726609033,0.14,0.34,0.31
2025-06-27 12:40:25,16.5,82.2,77.8,57116378,726943568,0.34,0.38,0.32
